NAME                                                                           VERSION                              TYPE                                     
@types/eslint-scope                                                            3.7.7                                npm                                      
@types/estree                                                                  0.0.39                               npm                                      
@types/estree                                                                  1.0.8                                npm                                      
@types/express                                                                 4.17.23                              npm                                      
@types/express-serve-static-core                                               4.19.7                               npm                                      
@types/express-serve-static-core                                               5.1.0                                npm                                      
@types/graceful-fs                                                             4.1.9                                npm                                      
@types/html-minifier-terser                                                    6.1.0                                npm                                      
@types/http-errors                                                             2.0.5                                npm                                      
@types/http-proxy                                                              1.17.16                              npm                                      
@types/istanbul-lib-coverage                                                   2.0.6                                npm                                      
@types/istanbul-lib-report                                                     3.0.3                                npm                                      
@types/istanbul-reports                                                        3.0.4                                npm                                      
@types/json-schema                                                             7.0.15                               npm                                      
@types/json5                                                                   0.0.29                               npm                                      
@types/mime                                                                    1.3.5                                npm                                      
@types/node                                                                    24.7.0                               npm                                      
@types/node-forge                                                              1.3.14                               npm                                      
@types/parse-json                                                              4.0.2                                npm                                      
@types/prettier                                                                2.7.3                                npm                                      
@types/q                                                                       1.5.8                                npm                                      
@types/qs                                                                      6.14.0                               npm                                      
@types/range-parser                                                            1.2.7                                npm                                      
@types/react                                                                   19.2.14                              npm                                      
@types/resolve                                                                 1.17.1                               npm                                      
@types/retry                                                                   0.12.0                               npm                                      
@types/semver                                                                  7.7.1                                npm                                      
@types/send                                                                    0.17.5                               npm                                      
@types/send                                                                    1.2.0                                npm                                      
@types/serve-index                                                             1.9.4                                npm                                      
@types/serve-static                                                            1.15.9                               npm                                      
@types/sockjs                                                                  0.3.36                               npm                                      
@types/stack-utils                                                             2.0.3                                npm                                      
@types/trusted-types                                                           2.0.7                                npm                                      
@types/ws                                                                      8.18.1                               npm                                      
@types/yargs                                                                   16.0.9                               npm                                      
@types/yargs                                                                   17.0.33                              npm                                      
@types/yargs-parser                                                            21.0.3                               npm                                      
@typescript-eslint/eslint-plugin                                               5.62.0                               npm                                      
@typescript-eslint/experimental-utils                                          5.62.0                               npm                                      
@typescript-eslint/parser                                                      5.62.0                               npm                                      
@typescript-eslint/scope-manager                                               5.62.0                               npm                                      
@typescript-eslint/type-utils                                                  5.62.0                               npm                                      
@typescript-eslint/types                                                       5.62.0                               npm                                      
@typescript-eslint/typescript-estree                                           5.62.0                               npm                                      
@typescript-eslint/utils                                                       5.62.0                               npm                                      
@typescript-eslint/visitor-keys                                                5.62.0                               npm                                      
@ungap/structured-clone                                                        1.3.0                                npm                                      
@webassemblyjs/ast                                                             1.14.1                               npm                                      
@webassemblyjs/floating-point-hex-parser                                       1.13.2                               npm                                      
@webassemblyjs/helper-api-error                                                1.13.2                               npm                                      
@webassemblyjs/helper-buffer                                                   1.14.1                               npm                                      
@webassemblyjs/helper-numbers                                                  1.13.2                               npm                                      
@webassemblyjs/helper-wasm-bytecode                                            1.13.2                               npm                                      
@webassemblyjs/helper-wasm-section                                             1.14.1                               npm                                      
@webassemblyjs/ieee754                                                         1.13.2                               npm                                      
@webassemblyjs/leb128                                                          1.13.2                               npm                                      
@webassemblyjs/utf8                                                            1.13.2                               npm                                      
@webassemblyjs/wasm-edit                                                       1.14.1                               npm                                      
@webassemblyjs/wasm-gen                                                        1.14.1                               npm                                      
@webassemblyjs/wasm-opt                                                        1.14.1                               npm                                      
@webassemblyjs/wasm-parser                                                     1.14.1                               npm                                      
@webassemblyjs/wast-printer                                                    1.14.1                               npm                                      
@xtuc/ieee754                                                                  1.2.0                                npm                                      
@xtuc/long                                                                     4.2.2                                npm                                      
Simple Launcher                                                                1.1.0.14                             binary                  (+5 duplicates)  
abab                                                                           2.0.6                                npm                                      
accepts                                                                        1.3.8                                npm                                      
acorn                                                                          7.4.1                                npm                                      
acorn                                                                          8.15.0                               npm                                      
acorn-globals                                                                  6.0.0                                npm                                      
acorn-import-phases                                                            1.0.4                                npm                                      
acorn-jsx                                                                      5.3.2                                npm                                      
acorn-walk                                                                     7.2.0                                npm                                      
actions/checkout                                                               v1                                   github-action                            
actions/checkout                                                               v2                                   github-action           (+9 duplicates)  
actions/checkout                                                               v3                                   github-action                            
actions/checkout                                                               v4                                   github-action           (+5 duplicates)  
actions/setup-node                                                             v1                                   github-action           (+8 duplicates)  
actions/setup-node                                                             v2                                   github-action           (+1 duplicate)   
actions/setup-node                                                             v3                                   github-action           (+2 duplicates)  
actions/setup-node                                                             v4                                   github-action           (+3 duplicates)  
address                                                                        1.2.2                                npm                                      
adjust-sourcemap-loader                                                        4.0.0                                npm                                      
agent-base                                                                     6.0.2                                npm                                      
agent-kiosk-shell                                                              0.1.0                                npm                                      
aioboto3                                                                       15.5.0                               python                                   
aiobotocore                                                                    2.25.1                               python                                   
aiofiles                                                                       25.1.0                               python                                   
aiohappyeyeballs                                                               2.6.1                                python                                   
aiohttp                                                                        3.13.4                               python                                   
aioice                                                                         0.10.2                               python                                   
aioitertools                                                                   0.13.0                               python                                   
aiortc                                                                         1.14.0                               python                                   
aiosignal                                                                      1.4.0                                python                                   
ajv                                                                            6.12.6                               npm                                      
ajv                                                                            8.17.1                               npm                                      
ajv-formats                                                                    2.1.1                                npm                                      
ajv-keywords                                                                   3.5.2                                npm                                      
ajv-keywords                                                                   5.1.0                                npm                                      
annotated-doc                                                                  0.0.4                                python                                   
annotated-types                                                                0.7.0                                python                                   
ansi-escapes                                                                   4.3.2                                npm                                      
ansi-html                                                                      0.0.9                                npm                                      
ansi-html-community                                                            0.0.8                                npm                                      
ansi-regex                                                                     5.0.1                                npm                                      
ansi-regex                                                                     6.2.2                                npm                                      
ansi-styles                                                                    3.2.1                                npm                                      
ansi-styles                                                                    4.3.0                                npm                                      
ansi-styles                                                                    5.2.0                                npm                                      
ansi-styles                                                                    6.2.3                                npm                                      
any-promise                                                                    1.3.0                                npm                                      
anyio                                                                          4.13.0                               python                                   
anymatch                                                                       3.1.3                                npm                                      
arg                                                                            5.0.2                                npm                                      
argparse                                                                       1.0.10                               npm                                      
argparse                                                                       2.0.1                                npm                                      
aria-query                                                                     5.3.2                                npm                                      
array-buffer-byte-length                                                       1.0.2                                npm                                      
array-flatten                                                                  1.1.1                                npm                                      
array-includes                                                                 3.1.9                                npm                                      
array-union                                                                    2.1.0                                npm                                      
array.prototype.findlast                                                       1.2.5                                npm                                      
array.prototype.findlastindex                                                  1.2.6                                npm                                      
array.prototype.flat                                                           1.3.3                                npm                                      
array.prototype.flatmap                                                        1.3.3                                npm                                      
array.prototype.reduce                                                         1.0.8                                npm                                      
array.prototype.tosorted                                                       1.1.4                                npm                                      
arraybuffer.prototype.slice                                                    1.0.4                                npm                                      
asap                                                                           2.0.6                                npm                                      
ast-types-flow                                                                 0.0.8                                npm                                      
async                                                                          3.2.6                                npm                                      
async-function                                                                 1.0.0                                npm                                      
asynckit                                                                       0.4.0                                npm                                      
at-least-node                                                                  1.0.0                                npm                                      
attrs                                                                          26.1.0                               python                                   
audioop-lts                                                                    0.2.2                                python                                   
autoprefixer                                                                   10.4.21                              npm                                      
av                                                                             16.1.0                               python                                   
available-typed-arrays                                                         1.0.7                                npm                                      
aws-actions/amazon-ecr-login                                                   v2                                   github-action                            
aws-actions/configure-aws-credentials                                          v4                                   github-action                            
axe-core                                                                       4.10.3                               npm                                      
axobject-query                                                                 4.1.0                                npm                                      
babel-jest                                                                     27.5.1                               npm                                      
babel-loader                                                                   8.4.1                                npm                                      
babel-plugin-istanbul                                                          6.1.1                                npm                                      
babel-plugin-jest-hoist                                                        27.5.1                               npm                                      
babel-plugin-macros                                                            3.1.0                                npm                                      
babel-plugin-named-asset-import                                                0.3.8                                npm                                      
babel-plugin-polyfill-corejs2                                                  0.4.14                               npm                                      
babel-plugin-polyfill-corejs3                                                  0.13.0                               npm                                      
babel-plugin-polyfill-regenerator                                              0.6.5                                npm                                      
babel-plugin-transform-react-remove-prop-types                                 0.4.24                               npm                                      
babel-preset-current-node-syntax                                               1.2.0                                npm                                      
babel-preset-jest                                                              27.5.1                               npm                                      
babel-preset-react-app                                                         10.1.0                               npm                                      
balanced-match                                                                 1.0.2                                npm                                      
baseline-browser-mapping                                                       2.10.0                               npm                                      
baseline-browser-mapping                                                       2.8.13                               npm                                      
batch                                                                          0.6.1                                npm                                      
bfj                                                                            7.1.0                                npm                                      
big.js                                                                         5.2.2                                npm                                      
binary-extensions                                                              2.3.0                                npm                                      
bluebird                                                                       3.7.2                                npm                                      
body-parser                                                                    1.20.3                               npm                                      
bonjour-service                                                                1.3.0                                npm                                      
boolbase                                                                       1.0.0                                npm                                      
boto3                                                                          1.40.61                              python                                   
botocore                                                                       1.40.61                              python                                   
bowser                                                                         2.12.1                               npm                                      
bowser                                                                         2.14.1                               npm                                      
brace-expansion                                                                1.1.12                               npm                                      
brace-expansion                                                                2.0.2                                npm                                      
braces                                                                         3.0.3                                npm                                      
browser-process-hrtime                                                         1.0.0                                npm                                      
browserslist                                                                   4.26.3                               npm                                      
browserslist                                                                   4.28.1                               npm                                      
bser                                                                           2.1.1                                npm                                      
buffer-from                                                                    1.1.2                                npm                                      
builtin-modules                                                                3.3.0                                npm                                      
bytes                                                                          3.1.2                                npm                                      
call-bind                                                                      1.0.8                                npm                                      
call-bind-apply-helpers                                                        1.0.2                                npm                                      
call-bound                                                                     1.0.4                                npm                                      
callsites                                                                      3.1.0                                npm                                      
camel-case                                                                     4.1.2                                npm                                      
camelcase                                                                      5.3.1                                npm                                      
camelcase                                                                      6.3.0                                npm                                      
camelcase-css                                                                  2.0.1                                npm                                      
caniuse-api                                                                    3.0.0                                npm                                      
caniuse-lite                                                                   1.0.30001748                         npm                                      
caniuse-lite                                                                   1.0.30001777                         npm                                      
case-sensitive-paths-webpack-plugin                                            2.4.0                                npm                                      
certifi                                                                        2026.2.25                            python                                   
cffi                                                                           2.0.0                                python                                   
chalk                                                                          2.4.2                                npm                                      
chalk                                                                          4.1.2                                npm                                      
char-regex                                                                     1.0.2                                npm                                      
char-regex                                                                     2.0.2                                npm                                      
check-types                                                                    11.2.3                               npm                                      
chokidar                                                                       3.6.0                                npm                                      
chrome-trace-event                                                             1.0.4                                npm                                      
ci-info                                                                        3.9.0                                npm                                      
cjs-module-lexer                                                               1.4.3                                npm                                      
clean-css                                                                      5.3.3                                npm                                      
cli                                                                            UNKNOWN                              binary                                   
cli-32                                                                         UNKNOWN                              binary                                   
cli-64                                                                         UNKNOWN                              binary                                   
cli-arm64                                                                      UNKNOWN                              binary                                   
click                                                                          8.3.1                                python                                   
client-only                                                                    0.0.1                                npm                                      
cliui                                                                          7.0.4                                npm                                      
co                                                                             4.6.0                                npm                                      
coa                                                                            2.0.2                                npm                                      
collect-v8-coverage                                                            1.0.2                                npm                                      
color-convert                                                                  1.9.3                                npm                                      
color-convert                                                                  2.0.1                                npm                                      
color-name                                                                     1.1.3                                npm                                      
color-name                                                                     1.1.4                                npm                                      
colord                                                                         2.9.3                                npm                                      
coloredlogs                                                                    15.0.1                               python                                   
colorette                                                                      2.0.20                               npm                                      
combined-stream                                                                1.0.8                                npm                                      
commander                                                                      2.20.3                               npm                                      
commander                                                                      4.1.1                                npm                                      
commander                                                                      7.2.0                                npm                                      
commander                                                                      8.3.0                                npm                                      
common-tags                                                                    1.8.2                                npm                                      
commondir                                                                      1.0.1                                npm                                      
compressible                                                                   2.0.18                               npm                                      
compression                                                                    1.8.1                                npm                                      
concat-map                                                                     0.0.1                                npm                                      
confusing-browser-globals                                                      1.0.11                               npm                                      
connect-history-api-fallback                                                   2.0.0                                npm                                      
content-disposition                                                            0.5.4                                npm                                      
content-type                                                                   1.0.5                                npm                                      
convert-source-map                                                             1.9.0                                npm                                      
convert-source-map                                                             2.0.0                                npm                     (+1 duplicate)   
cookie                                                                         0.7.1                                npm                                      
cookie-signature                                                               1.0.6                                npm                                      
core-js                                                                        3.45.1                               npm                                      
core-js-compat                                                                 3.45.1                               npm                                      
core-js-pure                                                                   3.45.1                               npm                                      
core-util-is                                                                   1.0.3                                npm                                      
cosmiconfig                                                                    6.0.0                                npm                                      
cosmiconfig                                                                    7.1.0                                npm                                      
coverallsapp/github-action                                                     master                               github-action           (+3 duplicates)  
cross-spawn                                                                    7.0.6                                npm                                      
crypto-random-string                                                           2.0.0                                npm                                      
cryptography                                                                   46.0.6                               python                                   
css-blank-pseudo                                                               3.0.3                                npm                                      
css-declaration-sorter                                                         6.4.1                                npm                                      
css-has-pseudo                                                                 3.0.4                                npm                                      
css-loader                                                                     6.11.0                               npm                                      
css-minimizer-webpack-plugin                                                   3.4.1                                npm                                      
css-prefers-color-scheme                                                       6.0.3                                npm                                      
css-select                                                                     2.1.0                                npm                                      
css-select                                                                     4.3.0                                npm                                      
css-select-base-adapter                                                        0.1.1                                npm                                      
css-tree                                                                       1.0.0-alpha.37                       npm                                      
css-tree                                                                       1.1.3                                npm                                      
css-what                                                                       3.4.2                                npm                                      
css-what                                                                       6.2.2                                npm                                      
cssdb                                                                          7.11.2                               npm                                      
cssesc                                                                         3.0.0                                npm                                      
cssnano                                                                        5.1.15                               npm                                      
cssnano-preset-default                                                         5.2.14                               npm                                      
cssnano-utils                                                                  3.1.0                                npm                                      
csso                                                                           4.2.0                                npm                                      
cssom                                                                          0.3.8                                npm                                      
cssom                                                                          0.4.4                                npm                                      
cssstyle                                                                       2.3.0                                npm                                      
csstype                                                                        3.2.3                                npm                                      
daily-python                                                                   0.27.0                               python                                   
damerau-levenshtein                                                            1.0.8                                npm                                      
data-urls                                                                      2.0.0                                npm                                      
data-view-buffer                                                               1.0.2                                npm                                      
data-view-byte-length                                                          1.0.2                                npm                                      
data-view-byte-offset                                                          1.0.1                                npm                                      
debug                                                                          2.6.9                                npm                                      
debug                                                                          3.2.7                                npm                                      
debug                                                                          4.4.3                                npm                     (+1 duplicate)   
decimal.js                                                                     10.6.0                               npm                                      
dedent                                                                         0.7.0                                npm                                      
